,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,93.0,85.0,7.0,6.0
1,78.0,96.0,7.0,7.0
2,109.0,105.0,7.0,7.0
3,13.0,0.0,2.0,0.0
4,94.0,92.0,7.0,7.0
5,74.0,96.0,7.0,7.0
6,109.0,92.0,7.0,7.0
7,101.0,66.0,7.0,7.0
8,94.0,71.0,7.0,6.0
9,91.0,77.0,7.0,7.0
10,84.0,97.0,7.0,7.0
11,75.0,86.0,7.0,7.0
12,9.0,0.0,3.0,0.0
13,13.0,0.0,2.0,0.0
14,84.0,102.0,6.0,7.0
15,22.0,25.0,3.0,5.0
16,20.0,0.0,3.0,0.0
17,30.0,0.0,3.0,0.0
18,0.0,0.0,0.0,0.0
19,14.0,0.0,2.0,0.0
20,38.0,10.0,5.0,2.0
21,13.0,0.0,2.0,0.0
22,2.0,6.0,1.0,2.0
23,8.0,8.0,3.0,1.0
24,122.0,57.0,7.0,7.0
25,119.0,32.0,7.0,6.0
26,20.0,0.0,4.0,0.0
27,148.0,120.0,7.0,7.0
28,159.0,110.0,7.0,7.0
29,134.0,63.0,7.0,6.0
30,139.0,57.0,7.0,6.0
31,152.0,80.0,7.0,7.0
32,139.0,65.0,7.0,6.0
33,119.0,46.0,7.0,4.0
34,133.0,61.0,7.0,7.0
35,145.0,49.0,7.0,6.0
36,17.0,31.0,4.0,5.0
37,144.0,147.0,7.0,7.0
38,15.0,14.0,4.0,3.0
39,1.0,0.0,1.0,0.0
40,33.0,25.0,7.0,6.0
41,43.0,29.0,7.0,7.0
42,31.0,36.0,6.0,7.0
43,25.0,34.0,4.0,6.0
44,24.0,38.0,4.0,7.0
45,35.0,35.0,6.0,7.0
46,21.0,34.0,4.0,7.0
47,21.0,41.0,3.0,7.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,57.0,60.0,7.0,7.0
52,6.0,0.0,1.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,121.0,112.0,7.0,7.0
61,79.0,71.0,7.0,7.0
62,12.0,0.0,2.0,0.0
63,110.0,90.0,7.0,7.0
64,119.0,119.0,7.0,7.0
65,123.0,119.0,7.0,7.0
66,110.0,124.0,7.0,7.0
67,146.0,113.0,7.0,7.0
68,130.0,133.0,7.0,7.0
69,107.0,118.0,7.0,7.0
70,88.0,120.0,7.0,7.0
71,125.0,129.0,7.0,7.0
72,136.0,98.0,7.0,6.0
73,125.0,91.0,7.0,7.0
74,58.0,32.0,7.0,5.0
75,113.0,87.0,7.0,7.0
76,86.0,55.0,6.0,5.0
77,125.0,101.0,7.0,7.0
78,132.0,123.0,7.0,7.0
79,131.0,93.0,7.0,7.0
80,117.0,97.0,7.0,7.0
81,112.0,99.0,7.0,7.0
82,129.0,105.0,7.0,7.0
83,127.0,93.0,7.0,7.0
84,24.0,28.0,4.0,5.0
85,125.0,83.0,6.0,7.0
86,19.0,5.0,3.0,2.0
87,13.0,50.0,3.0,7.0
88,19.0,21.0,2.0,5.0
89,26.0,42.0,4.0,6.0
90,40.0,33.0,4.0,6.0
91,31.0,0.0,5.0,0.0
92,6.0,11.0,1.0,4.0
93,36.0,0.0,4.0,0.0
94,37.0,17.0,5.0,5.0
95,34.0,21.0,5.0,4.0
96,0.0,0.0,0.0,0.0
97,1.0,0.0,1.0,0.0
98,79.0,35.0,5.0,5.0
99,28.0,37.0,5.0,7.0
100,0.0,0.0,0.0,0.0
101,3.0,0.0,1.0,0.0
102,0.0,0.0,0.0,0.0
103,5.0,2.0,1.0,1.0
104,0.0,0.0,0.0,0.0
105,0.0,4.0,0.0,1.0
106,2.0,0.0,1.0,0.0
107,2.0,0.0,1.0,0.0
108,113.0,98.0,7.0,6.0
109,37.0,6.0,6.0,2.0
110,64.0,0.0,7.0,0.0
111,152.0,142.0,7.0,7.0
112,100.0,148.0,7.0,7.0
113,126.0,70.0,7.0,5.0
114,114.0,78.0,7.0,7.0
115,120.0,101.0,7.0,7.0
116,153.0,135.0,7.0,7.0
117,64.0,121.0,6.0,7.0
118,139.0,111.0,7.0,7.0
119,145.0,102.0,7.0,7.0
